,Mkt-RF,RF,Month,RM,GROSS-RM,GROSS-RF,CumRet-RM,CumRet-RF
706,0.0509,0.0066,1985-05-01,0.0575,1.0575,1.0066,3.7079991386754703,3.4215322190385766
707,0.0127,0.0055000000000000005,1985-06-01,0.0182,1.0182,1.0055,3.775484722999364,3.440350646243289
708,-0.0074,0.0062,1985-07-01,-0.0012000000000000005,0.9988,1.0062,3.7709541413317647,3.4616808202499976
709,-0.0102,0.0055000000000000005,1985-08-01,-0.0047,0.9953,1.0055,3.753230656867505,3.480720064761373
710,-0.0454,0.006,1985-09-01,-0.039400000000000004,0.9606,1.006,3.6053533689869255,3.501604385149941
711,0.040199999999999986,0.006500000000000001,1985-10-01,0.046699999999999985,1.0467,1.0065,3.773723371318615,3.5243648136534156
712,0.06480000000000001,0.0061,1985-11-01,0.0709,1.0709,1.0061,4.041280358345104,3.5458634390167014
713,0.0388,0.006500000000000001,1985-12-01,0.0453,1.0453,1.0065,4.224350358578137,3.56891155137031
714,0.006500000000000001,0.005600000000000001,1986-01-01,0.012100000000000001,1.0121,1.0056,4.275464997916933,3.5888974560579836
715,0.0713,0.0053,1986-02-01,0.0766,1.0766,1.0053,4.60296561675737,3.6079186125750913
716,0.0488,0.006,1986-03-01,0.0548,1.0548,1.006,4.855208132555673,3.629566124250542
717,-0.0131,0.0052,1986-04-01,-0.0079,0.9921,1.0052,4.816851988308484,3.648439868096645
718,0.0462,0.0049,1986-05-01,0.0511,1.0511,1.0049,5.0629931249110465,3.666317223450318
719,0.0103,0.0052,1986-06-01,0.0155,1.0155,1.0052,5.141469518347168,3.68538207301226
720,-0.0645,0.0052,1986-07-01,-0.059300000000000005,0.9407,1.0052,4.836580375909181,3.704546059791924
721,0.0607,0.0046,1986-08-01,0.0653,1.0653,1.0046,5.15240907445605,3.7215869716669667
722,-0.086,0.0045000000000000005,1986-09-01,-0.08149999999999999,0.9185,1.0045,4.732487734887882,3.738334113039468
723,0.0466,0.0046,1986-10-01,0.0512,1.0512,1.0046,4.974791106914141,3.7555304499594495
724,0.0117,0.0039,1986-11-01,0.0156,1.0156,1.0039,5.052397848182002,3.7701770187142913
725,-0.0327,0.0049,1986-12-01,-0.0278,0.9722,1.0049,4.911941188002542,3.788650886105991
726,0.1247,0.0042,1987-01-01,0.12890000000000001,1.1289,1.0042,5.54509040713607,3.804563219827636
727,0.0439,0.0043,1987-02-01,0.0482,1.0482,1.0043,5.812363764760028,3.820922841672895
728,0.016399999999999998,0.004699999999999999,1987-03-01,0.021099999999999997,1.0211,1.0047,5.935004640196464,3.8388811790287574
729,-0.0211,0.0044,1987-04-01,-0.0167,0.9833,1.0044,5.835890062705182,3.8557722562164836
730,0.0011,0.0038,1987-05-01,0.0049,1.0049,1.0038,5.864485924012437,3.8704241907901062
731,0.0394,0.0048,1987-06-01,0.044199999999999996,1.0442,1.0048,6.123696201853787,3.8890022269058986
732,0.0385,0.0046,1987-07-01,0.0431,1.0431,1.0046,6.387627508153685,3.9068916371496654
733,0.0352,0.004699999999999999,1987-08-01,0.039900000000000005,1.0399,1.0047,6.642493845729017,3.9252540278442685
734,-0.0259,0.0045000000000000005,1987-09-01,-0.0214,0.9786,1.0045,6.500344477430416,3.9429176709695675
735,-0.2324,0.006,1987-10-01,-0.2264,0.7736000000000001,1.006,5.02866648774017,3.9665751769953848
736,-0.07769999999999999,0.0035,1987-11-01,-0.07419999999999999,0.9258,1.0035,4.6555394343498495,3.980458190114869
737,0.0681,0.0039,1987-12-01,0.072,1.072,1.0039,4.990738273623039,3.9959819770563167
738,0.0421,0.0029,1988-01-01,0.045,1.045,1.0029,5.215321495936076,4.007570324789779
739,0.0475,0.0046,1988-02-01,0.0521,1.0521,1.0046,5.487039745874346,4.026005148283812
740,-0.0227,0.0044,1988-03-01,-0.0183,0.9817,1.0044,5.386626918524845,4.043719570936261
741,0.005600000000000001,0.0046,1988-04-01,0.0102,1.0102,1.0046,5.441570513093798,4.062320680962568
742,-0.0029,0.0051,1988-05-01,0.0022000000000000006,1.0022,1.0051,5.453541968222605,4.083038516435478
743,0.0479,0.0049,1988-06-01,0.0528,1.0528,1.0049,5.741488984144758,4.103045405166011
744,-0.0125,0.0051,1988-07-01,-0.0074,0.9926,1.0051,5.699001965662087,4.123970936732358
745,-0.0331,0.0059,1988-08-01,-0.0272,0.9728,1.0059,5.543989112196078,4.148302365259079
746,0.033,0.0062,1988-09-01,0.0392,1.0392,1.0062,5.761313485394163,4.174021839923685
747,0.0115,0.0061,1988-10-01,0.0176,1.0176,1.0061,5.862712602737101,4.19948337314722
748,-0.0229,0.005699999999999999,1988-11-01,-0.0172,0.9828,1.0057,5.761873945970023,4.223420428374159
749,0.0149,0.0063,1988-12-01,0.0212,1.0212,1.0063,5.8840256736245875,4.250027977072916
750,0.061,0.0055000000000000005,1989-01-01,0.0665,1.0665,1.0055,6.275313380920623,4.273403130946817
751,-0.0225,0.0061,1989-02-01,-0.016399999999999998,0.9836,1.0061,6.172398241473525,4.299470890045592
752,0.015700000000000002,0.0067,1989-03-01,0.022400000000000003,1.0224,1.0067,6.310659962082532,4.328277345008898
753,0.0433,0.0067,1989-04-01,0.049999999999999996,1.05,1.0067,6.626192960186659,4.357276803220457
754,0.0335,0.0079,1989-05-01,0.041400000000000006,1.0414,1.0079,6.900517348738387,4.391699289965898
755,-0.013500000000000002,0.0071,1989-06-01,-0.006400000000000001,0.9936,1.0071,6.856354037706462,4.422880354924657
756,0.07200000000000001,0.006999999999999999,1989-07-01,0.07900000000000001,1.079,1.007,7.3980060066852715,4.453840517409129
757,0.0144,0.0074,1989-08-01,0.0218,1.0218,1.0074,7.55928253763101,4.486798937237957
758,-0.0076,0.006500000000000001,1989-09-01,-0.0010999999999999994,0.9989,1.0065,7.550967326839617,4.515963130330003
759,-0.0367,0.0068000000000000005,1989-10-01,-0.029900000000000003,0.9701,1.0068,7.325193403767112,4.546671679616247
760,0.0103,0.0069,1989-11-01,0.0172,1.0172,1.0069,7.451186730311907,4.578043714205599
761,0.0116,0.0061,1989-12-01,0.0177,1.0177,1.0061,7.583072735438428,4.605969780862253
762,-0.0785,0.005699999999999999,1990-01-01,-0.0728,0.9272,1.0057,7.031025040298511,4.632223808613168
763,0.0111,0.005699999999999999,1990-02-01,0.0168,1.0168,1.0057,7.149146260975526,4.658627484322263
764,0.0183,0.0064,1990-03-01,0.0247,1.0247,1.0064,7.325730173621621,4.688442700221926
765,-0.0336,0.0069,1990-04-01,-0.026699999999999998,0.9733,1.0069,7.1301331779859245,4.720792954853457
766,0.0842,0.0068000000000000005,1990-05-01,0.091,1.091,1.0068,7.778975297182644,4.75289434694646
767,-0.0109,0.0063,1990-06-01,-0.0046,0.9954,1.0063,7.743192010815603,4.782837581332223
768,-0.019,0.0068000000000000005,1990-07-01,-0.012199999999999999,0.9878,1.0068,7.648725068283653,4.815360876885282
769,-0.1015,0.0066,1990-08-01,-0.09490000000000001,0.9051,1.0066,6.922861059303535,4.847142258672724
770,-0.0612,0.006,1990-09-01,-0.0552,0.9448,1.006,6.54071912882998,4.87622511222476
771,-0.0192,0.0068000000000000005,1990-10-01,-0.012399999999999998,0.9876,1.0068,6.459614211632489,4.909383442987888
772,0.0635,0.005699999999999999,1990-11-01,0.0692,1.0692,1.0057,6.906619515077456,4.937366928612919
773,0.0246,0.006,1990-12-01,0.030600000000000002,1.0306,1.006,7.117962072238826,4.966991130184597
774,0.0469,0.0052,1991-01-01,0.052099999999999994,1.0521,1.0052,7.488807896202469,4.992819484061557
775,0.0719,0.0048,1991-02-01,0.0767,1.0767,1.0048,8.063199461841199,5.016785017585052
776,0.0265,0.0044,1991-03-01,0.0309,1.0309,1.0044,8.31235232521209,5.038858871662426
777,-0.0028000000000000004,0.0053,1991-04-01,0.0024999999999999996,1.0025,1.0053,8.33313320602512,5.065564823682237
778,0.0365,0.004699999999999999,1991-05-01,0.0412,1.0412,1.0047,8.676458294113354,5.089372978353543
779,-0.049400000000000006,0.0042,1991-06-01,-0.045200000000000004,0.9548,1.0042,8.28428237921943,5.110748344862628
780,0.0424,0.0049,1991-07-01,0.0473,1.0473,1.0049,8.676128935756509,5.135791011752454
781,0.0232,0.0046,1991-08-01,0.0278,1.0278,1.0046,8.91732532017054,5.159415650406515
782,-0.0159,0.0046,1991-09-01,-0.011300000000000001,0.9887,1.0046,8.816559544052614,5.183148962398385
783,0.0129,0.0042,1991-10-01,0.0171,1.0171,1.0042,8.967322712255912,5.204918188040458
784,-0.041900000000000014,0.0039,1991-11-01,-0.03800000000000001,0.962,1.0039,8.626564449190187,5.225217368973816
785,0.1084,0.0038,1991-12-01,0.1122,1.1122,1.0038,9.594464980389327,5.245073194975916
786,-0.0059,0.0034,1992-01-01,-0.0025,0.9975,1.0034,9.570478817938355,5.262906443838834
787,0.0109,0.0028000000000000004,1992-02-01,0.0137,1.0137,1.0028,9.701594377744112,5.277642581881582
788,-0.0266,0.0034,1992-03-01,-0.0232,0.9768,1.0034,9.476517388180449,5.2955865666599795
789,0.0107,0.0032,1992-04-01,0.0139,1.0139,1.0032,9.608240979876157,5.312532443673292
790,0.003,0.0028000000000000004,1992-05-01,0.0058000000000000005,1.0058,1.0028,9.66396877755944,5.327407534515577
791,-0.0234,0.0032,1992-06-01,-0.0202,0.9798,1.0032,9.46875660825274,5.344455238626027
792,0.0377,0.0031,1992-07-01,0.040799999999999996,1.0408,1.0031,9.85508187786945,5.361023049865769
793,-0.0238,0.0026,1992-08-01,-0.021200000000000004,0.9788,1.0026,9.646154142058618,5.37496170979542
794,0.0119,0.0026,1992-09-01,0.0145,1.0145,1.0026,9.786023377118468,5.388936610240887
795,0.0102,0.0023,1992-10-01,0.0125,1.0125,1.0023,9.90834866933245,5.401331164444441
796,0.0413,0.0023,1992-11-01,0.0436,1.0436,1.0023,10.340352671315344,5.413754226122663
797,0.0153,0.0028000000000000004,1992-12-01,0.018099999999999998,1.0181,1.0028,10.527513054666152,5.428912737955806
798,0.0093,0.0023,1993-01-01,0.0116,1.0116,1.0023,10.649632206100279,5.441399237253105
799,0.0012,0.0022,1993-02-01,0.0034000000000000002,1.0034,1.0022,10.68584095560102,5.453370315575062
800,0.023,0.0025,1993-03-01,0.0255,1.0255,1.0025,10.958329899968847,5.467003741363999
801,-0.0305,0.0024,1993-04-01,-0.0281,0.9719,1.0024,10.650400829779722,5.480124550343272
802,0.0289,0.0022,1993-05-01,0.0311,1.0311,1.0022,10.98162829558587,5.492180824354027
803,0.0031,0.0025,1993-06-01,0.0056,1.0056,1.0025,11.043125414041151,5.505911276414912
804,-0.0034,0.0024,1993-07-01,-0.001,0.999,1.0024,11.03208228862711,5.519125463478307
805,0.0371,0.0025,1993-08-01,0.0396,1.0396,1.0025,11.468952747256745,5.5329232771370025
806,-0.0012,0.0026,1993-09-01,0.0014,1.0014,1.0026,11.485009281102906,5.547308877657558
807,0.0141,0.0022,1993-10-01,0.0163,1.0163,1.0022,11.672214932384883,5.559512957188405
808,-0.0189,0.0025,1993-11-01,-0.0164,0.9836,1.0025,11.480790607493772,5.573411739581376
809,0.0165,0.0023,1993-12-01,0.0188,1.0188,1.0023,11.696629470914653,5.5862305865824124
810,0.0287,0.0025,1994-01-01,0.0312,1.0312,1.0025,12.061564310407189,5.600196163048868
811,-0.0255,0.0021,1994-02-01,-0.023399999999999997,0.9766,1.0021,11.77932370554366,5.611956574991271
812,-0.0478,0.0027,1994-03-01,-0.0451,0.9549,1.0027,11.248076206423642,5.627108857743747
813,0.0068000000000000005,0.0027,1994-04-01,0.009500000000000001,1.0095,1.0027,11.354932930384667,5.642302051659654
814,0.0058,0.0031,1994-05-01,0.0089,1.0089,1.0031,11.45599183346509,5.659793188019799
815,-0.0303,0.0031,1994-06-01,-0.027200000000000002,0.9728,1.0031,11.144388855594839,5.677338546902662
816,0.0282,0.0028000000000000004,1994-07-01,0.031,1.031,1.0028,11.489864910118278,5.693235094833988
817,0.0401,0.0037,1994-08-01,0.0438,1.0438,1.0037,11.99312099318146,5.714300064684874
818,-0.0231,0.0037,1994-09-01,-0.0194,0.9806,1.0037,11.76045444591374,5.735442974924208
819,0.0134,0.0038,1994-10-01,0.0172,1.0172,1.0038,11.962734262383458,5.75723765822892
820,-0.0404,0.0037,1994-11-01,-0.036699999999999997,0.9633,1.0037,11.523701914953985,5.778539437564367
821,0.0086,0.0044,1994-12-01,0.013000000000000001,1.013,1.0044,11.673510039848386,5.80396501108965
822,0.018000000000000002,0.0042,1995-01-01,0.0222,1.0222,1.0042,11.93266196273302,5.828341664136226
823,0.0363,0.004,1995-02-01,0.0403,1.0403,1.004,12.41354823983116,5.851655030792771
824,0.0219,0.0046,1995-03-01,0.0265,1.0265,1.0046,12.742507268186685,5.878572643934417
825,0.0211,0.0044,1995-04-01,0.025500000000000002,1.0255,1.0044,13.067441203525446,5.904438363567729
826,0.029,0.0054,1995-05-01,0.0344,1.0344,1.0054,13.516961180926721,5.936322330730995
827,0.0272,0.004699999999999999,1995-06-01,0.0319,1.0319,1.0047,13.948152242598283,5.96422304568543
828,0.0372,0.0045000000000000005,1995-07-01,0.0417,1.0417,1.0045,14.529790191114632,5.991062049391014
829,0.0055000000000000005,0.004699999999999999,1995-08-01,0.0102,1.0102,1.0047,14.677994051064001,6.019220041023152
830,0.0335,0.0043,1995-09-01,0.0378,1.0378,1.0043,15.232822226194221,6.0451026871995515
831,-0.0152,0.004699999999999999,1995-10-01,-0.0105,0.9895,1.0047,15.072877592819182,6.073514669829389
832,0.0396,0.0042,1995-11-01,0.043800000000000006,1.0438,1.0042,15.733069631384664,6.099023431442672
833,0.0103,0.0049,1995-12-01,0.0152,1.0152,1.0049,15.972212289781712,6.128908646256741
834,0.0226,0.0043,1996-01-01,0.0269,1.0269,1.0043,16.40186480037684,6.155262953435645
835,0.0133,0.0039,1996-02-01,0.0172,1.0172,1.0039,16.683976874943323,6.179268478954044
836,0.0073,0.0039,1996-03-01,0.0112,1.0112,1.0039,16.870837415942688,6.203367626021965
837,0.0206,0.0046,1996-04-01,0.0252,1.0252,1.0046,17.29598251882444,6.231903117101665
838,0.0236,0.0042,1996-05-01,0.0278,1.0278,1.0042,17.77681083284776,6.258077110193492
839,-0.0114,0.004,1996-06-01,-0.0074,0.9926,1.004,17.64526243268469,6.2831094186342655
840,-0.0597,0.0045000000000000005,1996-07-01,-0.0552,0.9448,1.0045,16.671243946400494,6.311383411018119
841,0.0277,0.0041,1996-08-01,0.0318,1.0318,1.0041,17.20138950389603,6.337260083003294
842,0.0501,0.0044,1996-09-01,0.0545,1.0545,1.0044,18.138865231858365,6.365144027368508
843,0.0086,0.0042,1996-10-01,0.012799999999999999,1.0128,1.0042,18.37104270682615,6.391877632283456
844,0.0625,0.0041,1996-11-01,0.0666,1.0666,1.0041,19.59455415110077,6.418084330575818
845,-0.017,0.0046,1996-12-01,-0.012400000000000001,0.9876,1.0046,19.35158167962712,6.447607518496466
846,0.0498,0.0045000000000000005,1997-01-01,0.0543,1.0543,1.0045,20.402372564830873,6.4766217523297
847,-0.0049,0.0039,1997-02-01,-0.001,0.999,1.0039,20.381970192266042,6.501880577163785
848,-0.0502,0.0043,1997-03-01,-0.0459,0.9541,1.0043,19.44643776044103,6.529838663645589
849,0.0404,0.0043,1997-04-01,0.0447,1.0447,1.0043,20.31569352833274,6.5579169698992645
850,0.0674,0.0049,1997-05-01,0.0723,1.0723,1.0049,21.7845181704312,6.59005076305177
851,0.041,0.0037,1997-06-01,0.044700000000000004,1.0447,1.0037,22.758286132649474,6.614433950875061
852,0.0733,0.0043,1997-07-01,0.0776,1.0776,1.0043,24.52432913654307,6.642876016863824
853,-0.0415,0.0041,1997-08-01,-0.0374,0.9626,1.0041,23.60711922683636,6.670111808532966
854,0.0535,0.0044,1997-09-01,0.0579,1.0579,1.0044,24.973971430070186,6.699460300490511
855,-0.038,0.0042,1997-10-01,-0.0338,0.9662,1.0042,24.129851195733814,6.727598033752571
856,0.0298,0.0039,1997-11-01,0.0337,1.0337,1.0039,24.943027181030043,6.753835666084206
857,0.0132,0.0048,1997-12-01,0.018,1.018,1.0048,25.392001670288586,6.786254077281409
858,0.0015,0.0043,1998-01-01,0.0058,1.0058,1.0043,25.53927527997626,6.815434969813719
859,0.0704,0.0039,1998-02-01,0.0743,1.0743,1.0039,27.436843433278497,6.842015166195993
860,0.0476,0.0039,1998-03-01,0.051500000000000004,1.0515,1.0039,28.849840870092343,6.868699025344157
861,0.0073,0.0043,1998-04-01,0.0116,1.0116,1.0043,29.184499024185417,6.898234431153137
862,-0.0307,0.004,1998-05-01,-0.0267,0.9733,1.004,28.40527290023967,6.92582736887775
863,0.0318,0.0041,1998-06-01,0.0359,1.0359,1.0041,29.425022197358274,6.954223261090148
864,-0.0246,0.004,1998-07-01,-0.0206,0.9794,1.004,28.818866740092695,6.982040154134509
865,-0.16079999999999994,0.0043,1998-08-01,-0.15649999999999994,0.8435,1.0043,24.30871409526819,7.012062926797287
866,0.06150000000000001,0.0046,1998-09-01,0.06610000000000002,1.0661,1.0046,25.91552009696542,7.0443184162605545
867,0.0713,0.0032,1998-10-01,0.0745,1.0745,1.0032,27.846226344189343,7.066860235192589
868,0.061,0.0031,1998-11-01,0.0641,1.0641,1.0031,29.631169452851882,7.088767501921687
869,0.0616,0.0038,1998-12-01,0.0654,1.0654,1.0038,31.569047935068394,7.1157048184289895
870,0.035,0.0035,1999-01-01,0.038500000000000006,1.0385,1.0035,32.78445628056853,7.140609785293491
871,-0.0408,0.0035,1999-02-01,-0.0373,0.9627,1.0035,31.56159606130332,7.165601919542019
872,0.0345,0.0043,1999-03-01,0.0388,1.0388,1.0043,32.78618598848189,7.19641400779605
873,0.0433,0.0037,1999-04-01,0.047,1.047,1.0037,34.327136729940534,7.223040739624896
874,-0.0246,0.0034,1999-05-01,-0.0212,0.9788,1.0034,33.5994014312658,7.247599078139621
875,0.047699999999999985,0.004,1999-06-01,0.05169999999999998,1.0517,1.004,35.33649048526224,7.276589474452179
876,-0.0349,0.0038,1999-07-01,-0.0311,0.9689,1.0038,34.237525631170584,7.304240514455098
877,-0.0138,0.0039,1999-08-01,-0.009899999999999999,0.9901,1.0039,33.898574127421995,7.332727052461473
878,-0.0279,0.0039,1999-09-01,-0.024,0.976,1.0039,33.085008348363864,7.361324687966072
879,0.0612,0.0039,1999-10-01,0.06509999999999999,1.0651,1.0039,35.23884239184235,7.39003385424914
880,0.0337,0.0036,1999-11-01,0.0373,1.0373,1.0036,36.55325121305807,7.416637976124437
881,0.07719999999999999,0.0044,1999-12-01,0.08159999999999999,1.0816,1.0044,39.5359965120436,7.449271183219384
882,-0.047400000000000005,0.0041,2000-01-01,-0.043300000000000005,0.9567,1.0041,37.824087863072116,7.479813195070584
883,0.0245,0.0043,2000-02-01,0.0288,1.0288,1.0043,38.91342159352859,7.511976391809387
884,0.052000000000000005,0.004699999999999999,2000-03-01,0.0567,1.0567,1.0047,41.11981259788166,7.547282680850891
885,-0.064,0.0046,2000-04-01,-0.0594,0.9406,1.0046,38.67729572956749,7.582000181182805
886,-0.0442,0.005,2000-05-01,-0.039200000000000006,0.9608,1.005,37.16114573696844,7.619910182088717
887,0.0464,0.004,2000-06-01,0.0504,1.0504,1.004,39.03406748211165,7.650389822817072
888,-0.0251,0.0048,2000-07-01,-0.020300000000000002,0.9797,1.0048,38.241675912224785,7.687111693966593
889,0.0703,0.005,2000-08-01,0.0753,1.0753,1.005,41.12127410841531,7.725547252436425
890,-0.0545,0.0051,2000-09-01,-0.0494,0.9506,1.0051,39.08988316745959,7.764947543423852
891,-0.0276,0.005600000000000001,2000-10-01,-0.022,0.978,1.0056,38.229905737775475,7.808431249667026
892,-0.1072,0.0051,2000-11-01,-0.1021,0.8979,1.0051,34.3266323619486,7.848254249040329
893,0.0119,0.005,2000-12-01,0.016900000000000002,1.0169,1.005,34.906752448865525,7.88749552028553
894,0.0313,0.0054,2001-01-01,0.0367,1.0367,1.0054,36.18783026373889,7.9300879960950725
895,-0.1005,0.0038,2001-02-01,-0.09670000000000001,0.9033,1.0038,32.68846707723534,7.960222330480234
896,-0.0726,0.0042,2001-03-01,-0.0684,0.9316,1.0042,30.452575929152438,7.993655264268251
897,0.0794,0.0039,2001-04-01,0.0833,1.0833,1.0039,32.98927550405083,8.024830519798897
898,0.0072,0.0032,2001-05-01,0.0104,1.0104,1.0032,33.332363969292956,8.050509977462253
899,-0.0194,0.0028000000000000004,2001-06-01,-0.0166,0.9834,1.0028,32.779046727402694,8.073051405399147
900,-0.0213,0.003,2001-07-01,-0.0183,0.9817,1.003,32.17919017229122,8.097270559615342
901,-0.0646,0.0031,2001-08-01,-0.061500000000000006,0.9385,1.0031,30.20016997669531,8.122372098350152
902,-0.0925,0.0028000000000000004,2001-09-01,-0.0897,0.9103,1.0028,27.491214729785742,8.145114740225532
903,0.0246,0.0022,2001-10-01,0.0268,1.0268,1.0022,28.227979284544,8.163033992654029
